"ID","Name","Locations","Comments"
"488","Shell-Shocked","The Ruby Sea (Hostile Kojin area)",""
"489","Parting Ways","Stormblood cutscenes",""
"490","Meteor","Stormblood cutscenes (Zenos)",""
"491","Riot ","The Pool of Tribute (Susano) phase 2",""
"492","At Both Ends","The Pool of Tribute (Susano) phase 3",""
"493","Riot","The Pool of Tribue (Extreme) (Susano) mount / Reveling Kamuy",""
"494","Beauty's Wicked Wiles","Emanation (Extreme) (Lakshmi) mount / Blissful Kamuy",""
"495","Procedamus in Peace","Rhalgr's Reach","Plays while Rhalgr's is destroyed"
"496","Wizardly","Cheap Dungeon","Order Yet Undeciphered (294) Chiptune"
"497","Victory","Choco Racing Victory",""
"498","Indomitable ","Ruby Sea (Friendly Kojin area)",""
"499","Beyond Redemption","Unending Coil of Bahamut (Ultimate) phase 4","Golden Bahamut theme"
"500","Rival Wings","Rival Wings","Transitions to ""Birds of Prey"" in combat"
"501","Locus","Rival Wings","Piloting Manipulator"
"502","Exponential Entropy","Rival Wings","Piloting Cruise Chaser"
"503","Metal - Brute Justice Mode","Rival Wings","Piloting Brute Justice"
"504","Far From Home","The Drowned City Of Skalla",""
"505","The Worm's Tail","The Minstrel's Ballad: Shinryu's Domain mount / Legendary Kamuy",""
"506","Trisection","Royal City of Rabanastre",""
"507","Precipitous Combat","Royal City of Rabanastre bosses",""
"508","Ultima's Transformation","Royal City of Rabanastre final boss (Argath Thadulfus)",""
"509","Victory","Royal City of Rabanastre post-final boss",""
"510","Save / Load Screen","Return to Ivalice cutscenes",""
"511","Character Creation","Return to Ivalice cutscenes",""
"512","Protagonist's Theme","Return to Ivalice cutscenes",""
"513","Stormblood alliance cutscene music","Royal City of Rabanastre","Needs name"
"514","Background Story","Return to Ivalice cutscenes",""
"515","The Enemy Approaches","Return to Ivalice cutscenes",""
"516","Starlit Gateway","Seasonal event BGM areas","Starlight 2017"
"517","Forever in Flames","","The Coil Tightens (239) shortened"
"518","Keepers of the Lock","The Fringes (Friendly Ananta area)",""
"519","Iroha","Reisen Temple",""
"520","Siren Song","Seasonal event BGM areas","Little Ladies' Day"
"521","Answer on High","The Jade Stoa (Byakko) / Hell's Kier (Suzaku) / The Wreath of Snakes (Seiryu) phase 1",""
"522","Todoroki","The Jade Stoa (Byakko) phase 2",""
"523","Amatsu Kaze","The Jade Stoa (Byakko) phase 3",""
"524","Wicked Winds Whisper","Eureka Anemos, Eureka Pagos, Eureka Pyros","Transitions to (needs name) in combat"
"525","No Quarter","Eureka Notorious Monster theme",""
"526","Down Where Daemons Dwell","Hells' Lid",""
"527","Unbreakable - Duality ","The Fractal Continuum (Hard)",""
"528","The Phantom Train to Sigmascape","Sigmascape v1.0 (Phantom Train) opening cutscene",""
"529","The Decisive Battle","Sigmascape v1.0 (Phantom Train), Sigmascape v2.0 (Demon Chadarnook), Sigmascape v3.0 (Guardian)",""
"530","Dancing Mad - Movement I","Sigmascape v4.0 (Kefka) phase 1",""
"531","Dancing Mad - Movement II","Sigmascape v4.0 (Kefka) phase 2",""
"532","Dancing Mad - Movement III","Sigmascape v4.0 (Kefka) phase 3",""
"533","Dancing Mad - Movement IV","Sigmascape v4.0 (Savage) (God Kefka)",""
"534","Final Not Final","Deltascape v4.0 (Savage) (Neo-Exdeath) mount / Alte Roite",""
"535","Dancing Mad IV Hushed","Sigmascape v4.0 (Savage) (God Kefka) mount / Air Force",""
"536","Amatsu Kaze","The Jade Stoa (Extreme) (Byakko) mount / Auspicious Kamuy",""
"537","Calling","Eureka","Same file as 56"
"538","Pa-Paya Demastered ","Egg Hunter Riggy minigame","Easter 2018"
"539","???","Needs location","Needs name. Allegedly Valentione's related"
"540","Seven Hundred Seventy-Seven Whiskers","The Azim Steppe (Friendly Namazu area)",""
"541","Nightbloom","Castrum Fluminis (Tsukuyomi) phase 1, The Minstrel's Ballad: Tsukuyomi's Pain (Tsukuyomi) phase 1",""
"542","Lunacy","Castrum Fluminis (Tsukuyomi) phase 2, The Minstrel's Ballad: Tsukuyomi's Pain (Tsukuyomi) phase 2",""
"543","Wayward Daughter","Castrum Fluminis (Tsukuyomi) phase 3, The Minstrel's Ballad: Tsukuyomi's Pain (Tsukuyomi) phase 3",""
"544","Fallen Angel (From Astral to Umbral)","The Weapon's Refrain (Ultimate) phase 1",""
"545","Primal Judgment (From Astral to Umbral)","The Weapon's Refrain (Ultimate) phase 2",""
"546","Under the Weight (From Astral to Umbral)","The Weapon's Refrain (Ultimate) phase 3",""
"547","Ultima (Orchestrial Version)","The Weapon's Refrain (Ultimate) phase 5",""
"548","Savage of the Ancient Forest","The Great Hunt (Rathalos) Phase 1",""
"549","Proof of a Hero - Monster Hunter: World version","The Great Hunt (Rathalos) Phase 2",""
"550","Quest Complete! - Proof of a Hero version","The Great Hunt (Rathalos) post-fight",""
"551","Earth Wind and Water","The Swallow's Compass",""
"552","Wayward Daughter Hushed","The Minstrel's Ballad: Tsukuyomi's Pain mount / Lunar Kamuy mount",""
"553","World Map","Needs location",""
"554","???","Needs location","Needs name"
"555","Ascent","Needs location","Directly from FFXII"
"556","The Mystery of Giruvegan ","Needs location","Directly from FFXII"
"557","Boss Theme ","Needs location","Directly from FFXII"
"558","Apoplexy","Needs location","Directly from FFT"
"559","Flash of Steel","Ridorana Lighthouse final boss (Yiazmat)","Directly from FFXII"
"560","Victory","Ridorana Lighthouse final boss (Yiazmat) post-battle","Directly from FFXII"
"561","Cornerstone of the New World - Astera","Monster Hunter: World crossover cutscenes","Day theme, 1st half of MHW OST track"
"562","Cornerstone of the New World - Astera","Monster Hunter: World crossover cutscenes","Night theme, 2nd half of MHW OST track"
"563","Crown of the Ancient Tree","Monster Hunter: World crossover Rathalos intro cutscene",""
"564","Proof of a Hero - Monster Hunter: World version","The Great Hunt (Extreme) (Rathalos) Mount",""
"565","Deception","HoH mount / Juedi",""
"566","Crimson Sunrise","Kugane (day)","In ARR files for some reason"
"567","Crimson Sunset","Kugane (night)","In ARR files for some reason"
"568","Looping in the Deepest Fringes","Gyr Abania combat","All ""Looping in the Deepest Fringes"" are the same track, in ARR files for some reason"
"569","","The Weapon's Refrain (Ultimate) phase 4",""
"570","Wasshoi, Wasshoi!","Mikoshi mount",""
"571","Second Council Meeting - Tension","Monster Hunter: World crossover cutscenes",""
"572","Quest Failed","The Great Hunt (Rathalos) duty failed",""
"573","Everywhere and Nowhere","Stormblood cutscenes (Alphascape)",""
"574","A Dream in Flight","Stormblood cutscenes (Alphascape)",""
"575","???","Stormblood cutscenes (Alphascape)","Needs name"
"576","Ending","Stormblood cutscenes (Alphascape)",""
"577","Unspoken","Cutscenes","1.0 Coerthas"
"578","Inner Recess","Stormblood cutscenes (Omega)","1.0 track"
"579","Neverborn","Cutscenes",""
"580","Starlight, Starbright","Theatrhythm minigame","Transitions to ""Starlight, Not Right"" when failing the minigame"
"581","Sunset","Hells' Kier (Suzaku) phase 2","DDR"
"582","Sunrise","Hells' Kier (Suzaku) phase 3",""
"583","A Land Long Dead ","The Burn",""
"584","From Mud","Saint Mocianne's Arboretum (Hard)",""
"585","Battle","Alphascape v1.0 (Chaos)","FF1 battle theme remix"
"586","eScape","Alphascape v3.0 (Omega)",""
"587","Heartless","Alphascape v4.0 (Omega M/F)",""
"588","Sunrise","Suzaku mount",""
"589","From the Heavens","Alphascape v4.0 (Savage) (Final Omega) mount / Omega",""
"590","Bedlam's Brink","Solus zos Galvus theme",""
"591","From the Heavens","Alphascape v4.0 (Savage) (Final Omega) phase 2",""
"592","The Chase/Crazy Motorcycle","SDS Fenrir mount","Directly from FF7"
"593","Dangertek","The Shifting of Altars of Uznair, Feast (Culling time)",""
"594","","",""
"595","","",""
"596","","",""
"597","","",""
"598","","",""
"599","","",""
"600","","",""
"601","","",""
"602","","",""
"603","","",""
"604","Broken Down","Final Fantasy XV crossover cutscenes & events",""
"605","Hammerhead","Final Fantasy XV crossover cutscenes & events","Guitar comes in at the end, not the beginning like in FFXV OST"
"606","Valse di Fantastica","Final Fantasy XV crossover cutscenes & events",""
"607","Relax and Reflect","Final Fantasy XV crossover cutscenes & events",""
"608","Daemons","Final Fantasy XV crossover cutscenes & events",""
"609","Prayer de LUNA","Final Fantasy XV crossover cutscenes & events","Slightly different from the OST"
"610","Safe Haven","Final Fantasy XV crossover cutscenes & events",""
"611","Veiled in Black","Final Fantasy XV crossover cutscenes & events",""
"612","Horrors of the Night","Final Fantasy XV crossover cutscenes & events",""
"613","Apocalypsis Noctis","Final Fantasy XV crossover cutscenes & events",""
"614","A Quick Pit Stop","FFXV crossover mount / Regalia Type-G",""
"615","Saint Ajora's Theme","Needs location","Directly from FFT"
"616","Poachers' Den","Needs location","Directly from FFT"
"617","Epilogue","Needs location","Directly from FFT"
"618","Staff Credits","Needs location","Directly from FFT"
"619","Brave Story","Needs location","Directly from FFT"
"620","Alma's Theme","Needs location","Directly from FFT"
"621","Intrigue","Needs location","Directly from FFT"
"622","Under the Stars","Needs location","Directly from FFT"
"623","Bloody Excrement","Needs location","Directly from FFT"
"624","Pressure (No. 1)","Needs location","Directly from FFT"
"625","Antipyretic","Needs location","Directly from FFT"
"626","A Man Consumed","Orbonne Monastery (The Thunder God)","""Grotesque Creature"" from Final Fantasy Vagrant Story"
"627","Descent","Orbonne Monastery final boss (Ultima) phase 2","Directly from FFT"
"628","Ultima's Perfection","Orbonne Monastery final boss (Ultima) victory theme","Directly from FFT"
"629","Final Struggle / Hall of Worship","Orbonne Monastery final boss (Ultima) victory theme","Opens with Final Struggle, transitions to Hall of Worship"
"630","Nail of the Heavens","The Masked Carnivale","1.0 track"
"631","Imperium","The Masked Carnivale",""
"632","The Garden of Ru'Hmet","Baldesion Arsenal","Directly from FFXI"
"633","Onslaught","Baldesion Arsenal boss theme","Directly from FFXI"
"634","Turmoil","Baldesion Arsenal final boss (Proto Ozma) theme","Directly from FFXI"
"635","From the Dragon's Wake","Seiryu mount",""
"636","Prelude - Long March Home","Kyubi mount","No title logo slice, no flag cheering"
"637","Horizons Calling","Nezha Chariot / Red Hare / Magicked Carpet / Sunspun Cumulus mounts",""
"638","???","Mystic Panda / Aquamarine+Citrine+Rubellite Carbuncle / Indigo Whale / Fatter Cat / Spriggan Stonecarrier / Kingly Peacock mounts","Palace of the Dead inter-floor theme (338, 399)"
"639","A Pall Most Murderous","The Ghimlyt Dark",""
"640","From the Dragon's Wake","The Wreath of Snakes (Seiryu) phase 2",""
"641","Doman Distractions","Doman Mahjong",""
"642","Air Force One Victory","Air Force One",""
"643","Air Force One Fail","Air Force One",""
"644","Battle Theme 1.x","Air Force One",""
"645","Revolutions / The Measure of Our Reach","Stormblood end credits 2",""
"646","Shadowbringers","Shadowbringers title cutscene",""
"647","Tomorrow and Tomorrow - Reprise","Shadowbringers cutscenes",""
"648","A Better Tomorrow","Shadowbringers cutscenes",""
"649","Tears in the Rain","Shadowbringers cutscenes",""
"650","Dangerous Words","Shadowbringers cutscenes / Overworld theme","Can be overworld theme based on quest progression"
"651","High Treason","Shadowbringers cutscenes / Overworld theme / Quest battles","Can be overworld theme based on quest progression"
"652","More than Truth","Shadowbringers cutscenes",""
"653","Paradisaical Predicaments","Shadowbringers cutscenes",""
"654","Tomorrow and Tomorrow","Shadowbringers cutscenes","Reverb piano version"
"655","Tomorrow and Tomorrow","Shadowbringers cutscenes","Reverb vocals + piano version"
"656","Vamo' alla Flamenco","Shadowbringers cutscenes (Dancer cutscenes)",""
"657","???","","Needs name"
"658","The Lute","",""
"659","The Dark Which Illuminates the World","Crystarium (day)",""
"660","Knowledge Never Sleeps","Crystarium (night)",""
"661","Indulgence","Eulmore (day)",""
"662","Masquerade","Eulmore (night)",""
"663","The Source","Lakeland (day)",""
"664","Unchanging, Everchanging","Lakeland (night)",""
"665","A World Divided","Kholusia (day)",""
"666","The Quick Way","Kholusia (night)",""
"667","Sands of Amber","Amh Araeng (day)",""
"668","Sands of Blood","Amh Araeng (night)",""
"669","Fierce and Free","Il Mheg (day)",""
"670","The Faerie Ring","Il Mheg (night)",""
"671","Civilizations","Rak'tika Greatwood (day)",""
"672","A Hopeless Race","Rak'tika Greatwood (night)",""
"673","Full Fathom Five","The Tempest",""
"674","Neath Dark Waters","The Tempest (Amaurot)",""
"675","A Reason to Live","Shadowbringers sanctuaries",""
"676","No Greater Sorrow","Shadowbringers sanctuaries",""
"677","Rencounter","Lakeland combat","All ""Rencounter"" are the same track"
"678","Rencounter","Kholusia combat","All ""Rencounter"" are the same track"
"679","Rencounter","Amh Araeng combat","All ""Rencounter"" are the same track"
"680","Rencounter","Il Mheg combat","All ""Rencounter"" are the same track"
"681","Rencounter","Rak'tika Greatwood combat","All ""Rencounter"" are the same track"
"682","","The Tempest combat","Empty track, but it seems XIV needs to have zone combat themes for everything"
"683","What Angel Wakes Me","The Dancing Plague (Titania)",""
"684","Insanity","The Crown of the Immaculate (Innocence)",""
"685","Who Brings Shadow","The Dying Gasp (Hades) phase 1",""
"686","Invincible","The Dying Gasp (Hades) phase 2",""
"687","To Fire And Sword","The Holminister Switch",""
"688","Figments","Dohn Mheg",""
"689","Unwound","Qitana Ravel",""
"690","Deep Down","Malikah's Well",""
"691","In The Belly Of The Beast","Mt. Gulg",""
"692","Mortal Instants","Amaurot",""
"693","Shadows Withal","Akadaemia Anyder",""
"694","A Long Fall","The Twinning",""
"695","Insatiable","Shadowbringers boss theme",""
"696","Blue Fields","The Empty (unfinished)",""
"697","Force Your Way","Eden's Gate: Resurrection (Eden Prime), Descent (Voidwalker), Eden's Verse: Iconoclasm (Idol of Darkness)",""
"698","Landslide","Eden's Gate: Sepulture (Titan)",""
"699","On Our Fates Alight","Amaro porter",""
"700","What Angel Wakes Me","The Dancing Plague (Extreme) (Titania) mount / Fae Gwiber","(Mount)"
"701","Insanity","The Crown of the Immaculate (Extreme) (Innocence) mount / Innocent Gwiber","(Mount)"
"702","Landslide","Eden's Gate: Sepulture (Savage) (Titan) mount / Skyslipper","(Mount)"
"703","Four-sided Circle","Sabotender Emperador mount",""
"704","Four-fold Knowing","Shadowbringers title screen",""
"705","Who Brings Shadow / Tomorrow and Tomorrow / Masquerade / High Treason / Knowledge Never Sleeps / The Dark Which Illuminates the World","Shadowbringers credits","Transitions directly into each song"
"706","Locus (The Primals)","The Twinning, The Epic of Alexander (Ultimate) phase 1",""
"707","Tomorrow and Tomorrow","Shadowbringers cutscenes","Part 1 of full track"
"708","Tomorrow and Tomorrow","Shadowbringers cutscenes","Part 2 of full track"
"709","Tomorrow and Tomorrow","Shadowbringers cutscenes","No vocals"
"710","Shattered","","2nd channel of 218, Syrcus Tower combat music"
"711","Pain in Pleasure","Eulmore","A 2nd Eulmore day theme"
"712","Such as it Is","Shadowbringers sanctuaries",""
"713","Null BGM","","Empty sound"
"714","The Darks' Kiss","","2nd channel of 17, ARR Hard dungeon combat music"
"715","On Our Fates Alight","Amaro mount",""
"716","Unmatching Pieces","Kholusia","Alt theme (Everlasting light?)"
"717","Blinding Indigo","Eden's Gate: Inundation (Leviathan)",""
"718","Starlight, De Chocobo","Theatrhythm minigame","Transitions to an unnamed off-key version when failing the minigame"
"719","The Garden's Gates","Lyhe Mheg",""
"720","The Mendicant's Relish","The Firmament",""
"721","Siren Song","Eulmore (The Beehive)",""
"722","A Fine Air Forbiddeth","Onsal Hakair","Transitions to ""A Fierce Air Forceth"" in combat"
"723","Metal - Brute Justice Mode (The Primals)","The Epic of Alexander (Ultimate) phase 2",""
"724","","The Epic of Alexander (Ultimate) phase 2 to 3","The timestop here is not in another channel because it does not have to sync with Rise"
"725","Rise (The Primals)","The Epic of Alexander (Ultimate) phase 3",""
"726","Moebius (Orchestral Version)","The Epic of Alexander (Ultimate) phase 4",""
"727","The Grand Cosmos","The Grand Cosmos",""
"728","Invincible","The Minstrel's Ballad: Hades' Elegy mount / Shadow Gwiber",""
"729","A Fierce Air Forceth","Construct VII mount",""
"730","Starved","Epimetheus, Menoetius mounts",""
"731","Imperium","Morbol mount",""
"732","Significance - Nothing","The Copied Factory solo exploration",""
"733","City Ruins - Rays of Light","The Copied Factory - Nier Automata OST",""
"734","Vague Hope","The Copied Factory - (Quest Area)",""
"735","","",""
"736","Voice of No Return","Need location","From FFXIV x NieR crossover"
"737","Alien Manifestation","The Copied Factory","From FFXIV x NieR crossover"
"738","Song of the Ancients - Atonement","The Copied Factory boss 1 (Serial-jointed Command Model) and 2 (Hobbes)","From FFXIV x NieR crossover"
"739","Bipolar Nightmare","The Copied Factory boss 3 (Engels)","From FFXIV x NieR crossover"
"740","Weight of the World - Prelude Version ","The Copied Factory boss 4 (9S-operated Walking Fortress)","From FFXIV x NieR crossover"
"741","Crumbling Lies","Need location","From FFXIV x NieR crossover"
"742","Where I Belong","Eden cutscenes / The Empty (finished)","FFVIII"
"743","Hopl's Dropple","Rak'tika Greatwood (Friendly Qitari area)",""
"744","???","Gangos","Needs name"
"745","Pa-Paya Demastered ","Egg Hunter Riggy minigame","Easter 2020"
"746","Ultima (The Primals)","Cinder Drift (The Ruby Weapon) phase 1",""
"747","???","The Firmament","Needs name"
"748","Insatiable (The Primals)","Shadowbringers mid-dungeon bosses",""
"749","Floundering in the Depths","Anamnesis Anyder",""
"750","Twice Stricken","Eden's Verse: Fulmination (Ramuh)",""
"751","Primal Angel","Eden's Verse: Furor (Garuda & Ifrit, Raktapaksa)",""
"752","Return to Oblivion","Eden's Verse: Refulgence (Shiva) phase 1",""
"753","Ultima (The Primals)","The Cinder Drift (Extreme) mount / Ruby Gwiber",""
"754","Twice Stricken","Eden's Verse: Fulmination (Savage) (Ramuh) mount / Ramuh",""
"755","Rise of The White Raven","The Cinder Drift (2nd Phase)","This version has far more prominent vocals"
"756","Horizons Calling","Ocean Fishing",""
"757","Holy Consult","Ocean Fishing",""
"758","When a Tree Falls","Ocean Fishing",""
"759","Oblivion's Refusal","Eden's Verse: Refulgence (Shiva) add phase",""
"760","Eternal Wind - Shadowbringers","",""
"761","???","","Shorter alt version of Shadowbringers, needs name"
"762","Tomorrow and Tomorrow","","Full song"
"763","???","Shadowbringers cutscenes","Needs name"
"764","???","Shadowbringers cutscenes","Needs name"
"765","Moonfire Faire Event","Eastern La Noscea Moonfire Faire",""
"766","Watts's Anvil","Lakeland (Friendly Dwarf area)",""
"767","And Love You Shall Find","Terncliff",""
"768","To The Edge","The Seat of Sacrifice phase 1, The Seat of Sacrifice (Extreme)",""
"769","","The Seat of Sacrifice","Active time maneuver mid-normal mode"
"770","","",""
"771","To The Edge","The Seat of Sacrifice",""
"772","Wind on the Plains","The Bozjan Southern Front","Transitions to ""Blood on the Wind"" in combat"
"773","Discord: Imperial (Zodiac Age Version)","The Bozjan Southern Front (certain critical engagements)",""
"774","Into the Fortress (Zodiac Age Version)","The Bozjan Southern Front (Castrum Lacus Litore)",""
"775","Battle with an Esper (Zodiac Age Version)","The Bozjan Southern Front (Castrum Lacus Litore boss theme)",""
"776","Life and Death (Zodiac Age Version)","The Bozjan Southern Front (Castrum Lacus Litore final boss (Dawon & Lyon))",""
"777","Where All Roads Lead","The Heroes Gauntlet",""
"778","To The Edge","The Seat of Sacrifice (Extreme) mount / Gwiber of Light",""
"779","Discord: Imperial (Zodiac Age Version)","The Bozjan Southern Front lockbox mount / Gabriel Î±",""
"780","Broken Heart","Needs location","From FFXIV x NieR crossover"
"781","City Ruins (Rays of Light) (Instrumental)","Needs location","From FFXIV x NieR crossover"
"782","Amusement Park","Needs location","From FFXIV x NieR crossover"
"783","Fortress of Lies","Needs location","From FFXIV x NieR crossover"
"784","Grandma - Destruction","Needs location","From FFXIV x NieR crossover"
"785","End of the Unknown","Needs location","From FFXIV x NieR crossover"
"786","Torn From the Heavens/The Dark Colossus Destroys All (Medley)","The Puppet's Bunker final boss (Compound 2P)","From FFXIV x NieR crossover"
"787","Unrest (Zodiac Age Version)","The Bozjan Southern Front",""
"788","","The Firmament mount / Pteradon",""
"789","Heavensward","City of Giants (Solo Instance)",""
"790","Nightbloom","City of Giants (Solo Instance)",""
"791","","",""
"792","The Black Wolf Stalks Again","Castrum Marinum (Emerald Weapon) phase 2",""
"793","","",""
"794","","",""
"795","","",""
"796","","",""
"797","Shuffle or Boogie","Triple Triad tournaments",""
"798","Freshly Baked Porxie","Matoya's Relict",""
"799","Don't Be Afraid","Eden's Promise: Umbra (Cloud of Darkness), Eden's Promise: Litany (Shadowkeeper)",""
"800","The Legendary Beast","Eden's Promise: Anamorphosis (Fatebreaker)",""
"801","Promises to Keep","Eden's Promise: Eternity (Eden's Promise)",""
"802","The Extreme","Eden's Promise: Eternity (Savage) (Oracle of Darkness)",""
"803","The Black Wolf Stalks Again","Castrum Marinum (Extreme) (Emerald Weapon) / Emerald Gwiber",""
"804","Promises to Keep (Mount)","Eden's Promise: Eternity (Savage) mount / Eden",""
"805","","",""
"806","???","Eden's Promise: Eternity phase 2","Needs name"
